Date,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC,SPY
2015-01-01,101.6449204076701,100.20292464457275,99.92510181164529,99.18743288097087,99.1963267628864,97.49776810878559,100.95666642684947,100.26457463171971,99.76328313256772,99.04093623249864,100.7670508314809,100.04092241772382
2015-01-02,102.90137210842838,101.04209058204783,99.65858616812913,99.64462919617749,99.40634895006582,97.21335104423248,101.4386566396083,101.56886795520248,100.76312151541455,100.16579060452713,101.43221810679779,100.38185161586881
2015-01-05,102.48436745148686,102.08276365120925,98.95782057550284,98.05844866609556,99.43841955063874,96.9527688791537,102.4990367144406,101.70897701819004,100.27918486088956,99.96273413423795,103.06872409885773,100.14432562215674
2015-01-06,100.66343490678058,101.30283761122365,97.65289157088853,95.64178553695264,98.0438107075986,95.61159609362346,101.0185639369944,99.97909488251857,99.3426171967663,99.72895983759207,100.38218661813927,99.28513772064834
2015-01-07,100.45994579527411,100.79125584440793,97.08738657193742,94.60969188161049,98.51656208727488,95.06745328320136,99.95799719437291,99.54300169058075,99.71565952039352,99.62597473173696,100.66945420295248,98.86954747243463
2015-01-08,98.06524202121307,99.26481222013396,96.11666806441002,92.48061035786178,98.85448707875042,96.59514792639946,98.51458782436043,98.02860258615766,97.1621682865429,98.92377091368488,100.50771231952262,97.92059435192073
2015-01-09,97.66436505858456,99.96681773153341,96.09901064989155,92.97661482485593,99.15404799756534,95.18091949940042,98.1840377141606,97.75724510453713,97.87025629695371,97.00713590630134,98.29020631458057,98.01881026810459
2015-01-12,99.74830740859055,101.39342112941452,97.04053227256863,95.20118085861799,100.49259617348723,96.34571794766048,100.8189687866514,98.51459911396832,98.80073668162585,98.8810084680703,100.22818797479525,99.38175450976726
2015-01-13,99.29273395520924,100.61994156734497,97.57295537233811,94.51000651950385,100.92429389021432,95.09793606109068,100.3447044133743,97.79384967383507,98.17927091479065,99.93194329723241,99.70022402702732,98.92816127488173
2015-01-14,98.30190611332232,100.55543504239044,97.5846280503647,93.80396409715996,100.45326137370736,93.16644973309906,99.6640308080899,97.22648177087072,98.27515287688536,99.5063117296468,99.02396562881893,98.34874162978733
2015-01-15,99.56811338133998,101.36692136885159,98.28179167684677,94.24203344914649,101.30754740394043,95.44522780709342,100.47714135048437,97.94501793378353,98.263113308402,99.82747439385655,99.61421900456982,98.87333078780952
2015-01-16,99.32463624104678,100.516983342925,99.44013269229816,94.51672723170485,101.75798486442619,95.79602550566372,101.9183721812068,100.15663679650504,98.86746079144706,100.35543040416131,100.39821142657486,99.26822180717608
2015-01-19,99.70303492924818,101.1119371068621,99.86541478235887,94.80356988168694,101.09751078230505,97.56311520314078,102.19076207489815,100.19468381400397,99.00370217947422,100.28238136846039,100.28121064316136,99.413084038281
2015-01-20,98.34508809749495,100.42672270685307,98.66333884184179,94.10917544725052,100.06351642127538,94.92315583764588,100.94230932153746,99.2653594272257,98.98811457090686,98.025039732692,98.78616834305038,98.52021427364022
